"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00094728","1879","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","","","    490.3","","     490.3","0","       125","0","        71","0","        11","0","","","        14","Z","         1","0","       105","0","        33","0","       139","0","        10","0","","","","","","","  -20.0","0,0103, ","","","   330"," ,Z,0116, "," 100.3"," ,0,0818, ","   36.7","0,0716, ","-1.7","0,1025","-3.9","0,1104","-5.0","0,1105","-8.9","0,1121","-8.9","0,1121","-3.3","0,0406","-3.3","0,0406","-5.6","0,0308","-7.8","0,0301","-12.8","0,0228","    3038.3","3","    3038.3","0","    991.9"," ,0","","","      968"," ,Z","     11.20","0","     15.24","0","      7.16","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00094728","1880","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","","","    590.9","","     590.9","0","       118","0","        75","0","         8","0","","","        11","Z","         2","0","        97","0","        29","0","       140","0","        10","0","","","","","","","  -21.1","0,1230, ","","","   102"," ,Z,1229,+","  47.2"," ,0,0722, ","   35.6","0,0527, ","-4.4","0,1118","-4.4","0,1118","-4.4","0,1118","-10.6","0,1122","-10.6","0,1122","-3.3","0,0412","-3.3","0,0412","-6.1","0,0326","-10.0","0,0325","-10.0","0,0325","    2682.1","1","    2682.1","0","    931.2"," ,0","","","      706"," ,Z","     11.60","0","     15.68","0","      7.52","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00094728","1881","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","","","    548.8","","     548.8","0","       111","0","        72","0","         6","0","","","         9","Z","         1","0","        96","0","        33","0","       140","0","        11","0","","","","","","","  -19.4","0,0202, ","","","   165"," ,Z,0105, ","  55.6"," ,0,0319, ","   38.3","0,0907, ","-3.3","0,1122","-3.3","0,1122","-5.0","0,1125","-6.7","0,1211","","","-5.0","0,0407","-5.0","0,0407","-5.0","0,0407","-11.1","0,0226","-11.1","0,0226","    3492.5","5","    3492.5","0","    921.7"," ,0","","","      612"," ,Z","     11.23","0","     15.23","0","      7.24","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00094728","1882","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","","","    517.0","","     517.0","0","       125","0","        83","0","         6","0","","","        11","Z","         2","0","        98","0","        29","0","       123","0","         8","0","","","","","","","  -21.1","0,0124, ","","","   229"," ,Z,1130, "," 210.3"," ,0,0923, ","   33.9","0,0728, ","0.0","0,1103","-3.3","0,1118","-5.0","0,1119","-6.7","0,1128","-10.0","0,1203","-2.2","0,0412","-2.2","0,0412","-5.6","0,0325","-7.8","0,0315","-10.6","0,0204","    2887.7","7","    2887.7","0","   1151.2"," ,0","","","     1122"," ,Z","     10.95","0","     14.61","0","      7.29","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00094728","1883","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","","","    425.5","","     425.5","0","       126","0","        79","0","         5","0","","","        13","Z","         1","0","       115","0","        37","0","       124","0","         7","0","","","","","","","  -18.3","0,1223, ","","","   185"," ,Z,1224, ","  49.3"," ,0,0521, ","   35.0","0,0707,+","-1.1","0,1112","-2.2","0,1114","-4.4","0,1115","-12.8","0,1215","-12.8","0,1215","-0.6","0,0403","-3.9","0,0401","-5.6","0,0331","-8.3","0,0322","-10.0","0,0309","    3390.7","7","    3390.7","0","    909.2"," ,0","","","     1342"," ,Z","     10.09","0","     13.94","0","      6.24","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00094728","1884","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","","","    544.9","","     544.9","0","       132","0","        80","0","        17","0","","","        10","Z","         2","0","        86","0","        32","0","       138","0","         7","0","","","","","","","  -19.4","0,1220, ","","","   127"," ,Z,0228, "," 109.0"," ,0,0626, ","   32.8","0,0910,+","-0.6","0,1119","-2.8","0,1124","-4.4","0,1125","-8.9","0,1218","-8.9","0,1218","0.0","0,0406","-3.9","0,0331","-6.1","0,0330","-10.6","0,0305","-10.6","0,0305","    3316.1","1","    3316.1","0","   1327.5"," ,0","","","      806"," ,Z","     11.24","0","     14.94","0","      7.55","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00094728","1885","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","","","    492.8","","     492.8","0","       111","0","        61","0","        10","0","","","         7","Z","         1","0","       108","0","        44","0","       125","0","        12","0","","","","","","","  -18.9","0,0211, ","","","   165"," ,Z,0225, ","  62.0"," ,0,0803, ","   37.2","0,0721, ","-1.1","0,1101","-2.8","0,1127","-7.8","0,1207","-7.8","0,1207","-8.9","0,1208","-1.1","0,0414","-2.8","0,0409","-7.8","0,0324","-7.8","0,0324","-8.9","0,0323","    3324.8","8","    3324.8","0","    899.6"," ,0","","","      594"," ,Z","     10.31","0","     14.25","0","      6.37","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00094728","1886","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","","","    416.4","","     416.4","0","       119","0","        73","0","         8","0","","","        11","Z","         2","0","        95","0","        36","0","       135","0","         7","0","","","","","","","  -20.0","0,0205, ","","","   135"," ,Z,1205, ","  69.6"," ,0,0211, ","   34.4","0,0730,+","0.0","0,1107","-2.8","0,1127","-9.4","0,1202","-9.4","0,1202","-9.4","0,1202","-1.1","0,0404","-3.3","0,0324","-5.6","0,0307","-6.7","0,0303","-12.2","0,0302","    3124.7","7","    3124.7","0","   1000.7"," ,0","","","      791"," ,Z","     10.70","0","     14.82","0","      6.58","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00094728","1887","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","","","    500.8","","     500.8","0","       124","0","        74","0","        11","0","","","        11","Z","         0","0","       117","0","        33","0","       133","0","        11","0","","","","","","","  -15.6","0,0119,+","","","   127"," ,Z,0226, ","  66.0"," ,0,0601, ","   35.6","0,0716, ","0.0","0,1030","-3.9","0,1120","-4.4","0,1121","-8.3","0,1130","-11.7","0,1201","-1.7","0,0419","-4.4","0,0406","-4.4","0,0406","-8.9","0,0330","-8.9","0,0330","    3249.7","7","    3249.7","0","   1118.2"," ,0","","","      785"," ,Z","     10.52","0","     14.61","0","      6.43","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00094728","1888","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","","","    407.5","","     407.5","0","       136","0","        79","0","        19","0","","","        12","Z","         1","0","       112","0","        40","0","       121","0","         6","0","","","","","","","  -17.8","0,0122, ","","","   419"," ,Z,0312, "," 106.4"," ,0,0821, ","   35.6","0,0624,+","-1.1","0,1117","-5.6","0,1121","-5.6","0,1121","-8.3","0,1123","-9.4","0,1214","-0.6","0,0425","-2.2","0,0413","-8.9","0,0325","-8.9","0,0325","-8.9","0,0325","    3606.4","4","    3606.4","0","   1354.7"," ,0","","","      961"," ,Z","      9.69","0","     13.67","0","      5.70","0","","","","","","","","","","","","","","","","","","","","","",""
